_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,lat,long,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,accessibility,sameDayAppt,active,temporarily_closed,pharmacy,operated_by,location_name_fr,operated_by_fr,address_fr,province,PHU,PHU_fr,monday,tuesday,wednesday,thursday,friday,saturday,sunday,appointments,online_appointments,phone_appointments,walk_ins,symptomatic,drive_through,general_population,children_under_2,age_threshold,weeks_pregnant,french_language_services,accessible,asl_interpretation,first_nations,free_parking,paid_parking,public_transit,additional_information,additional_information_fr,Monday_Open,Monday_Closed,Tuesday_Open,Tuesday_Closed,Wednesday_Open,Wednesday_Closed,Thursday_Open,Thursday_Closed,Friday_Open,Friday_Closed,Saturday_Open,Saturday_Closed,Sunday_Open,Sunday_Closed,Data_Source,OBJECTID,geometry
17482,206.0,Mid-West Toronto Ontario Health Team (UHN Hub),Hospital Immunization Clinic,931 College Street,,,,,-79.425972917299,,,By appointment only. Accessible and parking is available.,,,,,http://midwesttorontooht.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,44,"{u'type': u'Point', u'coordinates': (-79.4259729173, 43.6536087817)}"
17483,207.0,Englemount-Lawrence Vaccination Clinic (ELVC),Hospital Immunization Clinic,160 Neptune Drive,,,,,-79.442190119304,,,By appointment only. Accessible and parking is available.,,,,,https://elvaccineclinic.ca/ntoht/covid-vaccine/gp/self-schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,45,"{u'type': u'Point', u'coordinates': (-79.4421901193, 43.729372292)}"
17484,184.0,Carefirst Seniors and Community Services Association Clinic,Hospital Immunization Clinic,300 Silver Star Boulevard,,,,,-79.294956688457,,,By appointment only. Accessible and parking is available.,,,,,https://www.scarboroughcovidvaccineclinic.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontario Health; Toronto Public Health,46,"{u'type': u'Point', u'coordinates': (-79.2949566885, 43.8127815132)}"
17485,,DEMARCO PHARMACY,Pharmacy Immunization Site,2394 KEELE ST,Toronto,M6M 4A5,,,-79.47825655899999,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-244-5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,178,"{u'type': u'Point', u'coordinates': (-79.478256559, 43.70791816)}"
17486,,GLEN PARK PHARMACY*,Pharmacy Immunization Site,2920 DUFFERIN ST,Toronto,M6B 3S8,,,-79.45386249499995,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-256-1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,179,"{u'type': u'Point', u'coordinates': (-79.453862495, 43.708746567)}"
17487,,SHIH PHARMACY,Pharmacy Immunization Site,2700 KIPLING AVE UNIT 9,Rexdale,M9V 4P2,,,-79.589313517,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-740-1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,180,"{u'type': u'Point', u'coordinates': (-79.589313517, 43.75669264)}"
17488,,LAROSE PHARMACY,Pharmacy Immunization Site,140 LAROSE AVE,Weston,M9P 1B2,,,-79.52394982599998,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-249-8600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,181,"{u'type': u'Point', u'coordinates': (-79.523949826, 43.685625102)}"
17489,,PHARMA TRUST DRUG MART*,Pharmacy Immunization Site,1935 SHEPPARD AVE W,Downsview,M3L 1Y8,,,-79.51150010099997,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-743-3351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,182,"{u'type': u'Point', u'coordinates': (-79.511500101, 43.738836382)}"
17490,,DRUG STORE PHARMACY #4285,Pharmacy Immunization Site,25 PHOTOGRAPHY CIR,Toronto,M6M 0A1,,,-79.48376793399994,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-763-1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,183,"{u'type': u'Point', u'coordinates': (-79.483767934, 43.686772181)}"
17491,,HEALING ARTS PHARMACY,Pharmacy Immunization Site,113-170 THE DONWAY W,Toronto,M3C 2J2,,,-79.34804390399995,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-444-2604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,184,"{u'type': u'Point', u'coordinates': (-79.348043904, 43.735377559)}"
17492,,HEALTH CORNER PHARMACY,Pharmacy Immunization Site,3-2167 VICTORIA PARK AVE,Scarborough,M1R 1V5,,,-79.31513987099999,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-384-0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,185,"{u'type': u'Point', u'coordinates': (-79.315139871, 43.758778536)}"
17493,,CANADA CHEMISTS,Pharmacy Immunization Site,1975 AVENUE ROAD,TORONTO,M5M 4A3,,,-79.41956234599995,,"Monday: , Tuesday: , Wednesday: , Thursday: , Friday: , Saturday: , Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-440-8008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,186,"{u'type': u'Point', u'coordinates': (-79.419562346, 43.734787027)}"
17494,,Ava Pharmacy,Pharmacy Immunization Site,81 St Clair Ave East unit 220,Toronto,M4T 1M7,,,-79.39036150199995,,"Monday: 10 a.m.-7 p.m., Tuesday: 10 a.m.-7 p.m., Wednesday: 10 a.m.-7 p.m., Thursday: 10 a.m.-7 p.m., Friday: 10 a.m.-7 p.m., Saturday: 10 a.m.-3 p.m., Sunday: closed",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-962-2111,,,,https://www.avapharmacy.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,187,"{u'type': u'Point', u'coordinates': (-79.390361502, 43.688674585)}"
17495,,Well+Good Pharmacy,Pharmacy Immunization Site,557 Church St,Toronto,M4Y 2E2,,,-79.38125153899999,,"Monday: 9 a.m.-6 p.m., Tuesday: 9 a.m.-6 p.m., Wednesday: 9 a.m.-6 p.m., Thursday: 9 a.m.-6 p.m., Friday: 9 a.m.-6 p.m., Saturday: 9 a.m.-4 p.m., Sunday: closed",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-532-5007,,,,https://www.wellandgoodpharmacy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,188,"{u'type': u'Point', u'coordinates': (-79.381251539, 43.667222854)}"
17496,,Victoria Commons Pharmacy,Pharmacy Immunization Site,"2555 Victoria Park Ave, Unit 6",Scarbrough,M1T1A3,,,-79.32113953199995,,"Monday: 9.30-17:00, Tuesday: 9.30-17:00, Wednesday: 9.30-17:00, Thursday: 9.30-17:00, Friday: 9.30-17:00, Saturday: 10 a.m.-2 p.m., Sunday:",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-551-7237,,,,https://www.viccomhealth.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,189,"{u'type': u'Point', u'coordinates': (-79.321139532, 43.7729758)}"
17497,,Greendale Drugs,Pharmacy Immunization Site,152 Carlton Street,Toronto,M5A 2K1,,,-79.37456317599998,,"Monday: 9 a.m.-6 p.m., Tuesday: 9 a.m.-6 p.m., Wednesday: 9 a.m.-6 p.m., Thursday: 9 a.m.-6 p.m., Friday: 9 a.m.-6 p.m., Saturday: 10 a.m.-4 p.m., Sunday: Closed",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-967-6610,,,,https://www.CareandCure.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,190,"{u'type': u'Point', u'coordinates': (-79.374563176, 43.663087211)}"
17498,,Friendly Care West King Pharmacy,Pharmacy Immunization Site,2077 Weston Rd.,Toronto,M9N 1X7,,,-79.52243768599999,,"Monday: 9:30 a.m.-6:30 p.m., Tuesday: 9:30 a.m.-6:30 p.m., Wednesday: 9:30 a.m.-6:30 p.m., Thursday: 9:30 a.m.-6:30 p.m., Friday: 9:30 a.m.-6:30pm, Saturday: 10 a.m.-1 p.m., Sunday: 10.00-1.00",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-248-4485,,,,https://www.westkingpharmacy.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,191,"{u'type': u'Point', u'coordinates': (-79.522437686, 43.702148362)}"
17499,,Beaches Pharmacy,Pharmacy Immunization Site,1967 Queen St East,Toronto,M4L1H9,,,-79.30145772199995,,"Monday: 8 a.m.-9 p.m., Tuesday: 8 a.m.-9 p.m., Wednesday: 8 a.m.-9 p.m., Thursday: 8 a.m.-9 p.m., Friday: 8 a.m.-9 p.m., Saturday: 8 a.m.-9 p.m., Sunday: 8 a.m.-9 p.m.",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-699-4999,,,,https://www.Pharmasave.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,192,"{u'type': u'Point', u'coordinates': (-79.301457722, 43.669556461)}"
17500,,Metro Drugs,Pharmacy Immunization Site,129 Dundas St E,Toronto,M5B 2N6,,,-79.37615685699996,,"Monday: 8 a.m.-6 p.m., Tuesday: 8 a.m.-6 p.m., Wednesday: 8 a.m.-6 p.m., Thursday: 8 a.m.-6 p.m., Friday: 8 a.m.-6 p.m., Saturday: 9 a.m.-4 p.m., Sunday: 9 a.m.-4 p.m.",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-363-7300,,,,https://www.metrodrugs.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,193,"{u'type': u'Point', u'coordinates': (-79.376156857, 43.656558446)}"
17501,,Healing Source Pharmacy,Pharmacy Immunization Site,2209 Bloor St West,Toronto,M6S 1N5,,,-79.47579015999997,,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-6 p.m., Saturday: 9:30 a.m.-3:30 p.m., Sunday: closed",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-769-1717,,,,https://www.healingsourcepharmacy.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,194,"{u'type': u'Point', u'coordinates': (-79.47579016, 43.651021745)}"
17502,,Welcome Guardian Drugs (Roncesvalles),Pharmacy Immunization Site,137 Roncesvalles Avenue,Toronto,M6R 2L2,,,-79.447412719,,"Monday: 9 a.m.-9 p.m., Tuesday: 9 a.m.-9 p.m., Wednesday: 9 a.m.-9 p.m., Thursday: 9 a.m.-9 p.m., Friday: 9 a.m.-9 p.m., Saturday: 9 a.m.-6 p.m., Sunday: 10 a.m.-5 p.m.",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-533-2088,,,,https://roncesvallesguardianpharmacy.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,195,"{u'type': u'Point', u'coordinates': (-79.447412719, 43.643375049)}"
17503,,LOBLAWS INC FORT4165 RX DSP,Pharmacy Immunization Site,330 QUEENS PLATE DR,ETOBICOKE,M9W 7J7,,,-79.59604277199999,,"Monday: 8 a.m.-8 p.m., Tuesday: 8 a.m.-8 p.m., Wednesday: 8 a.m.-8 p.m., Thursday: 8 a.m.-8 p.m., Friday: 8 a.m.-8 p.m., Saturday: 9 a.m.-6 p.m., Sunday: 10 a.m.-5 p.m.",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-745-2825,,,,https://fortinos.ca/covid19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,196,"{u'type': u'Point', u'coordinates': (-79.596042772, 43.721575079)}"
17504,,Shoppers Drug Mart 803,Pharmacy Immunization Site,1500 AVENUE RD,TORONTO,M5M 3X2,,,-79.41629953299997,,"Monday: midnight to midnight, Tuesday: midnight to midnight, Wednesday: midnight to midnight, Thursday: midnight to midnight, Friday: midnight to midnight, Saturday: midnight to midnight, Sunday: midnight to midnight",Toronto residents aged 40 and over are eligible to receive the AstraZeneca vaccine by appointment only.,416-781-6146,,,,https://www.shoppersdrugmart.ca/covid19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Province of Ontario,197,"{u'type': u'Point', u'coordinates': (-79.416299533, 43.722676877)}"
